Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
250950 MONTADAS;27;-;-;-;-;-;-;-;-;2;-;29
250960 MONTE HOREBE;-;-;2;-;-;-;-;-;-;-;-;2
250970 MONTEIRO;79;1;6;-;2;1;2;16;1;3;34;145
250980 MULUNGU;5;-;1;2;-;1;-;-;-;-;5;14
250990 NATUBA;-;1;3;2;2;2;3;5;1;3;1;23
251010 NOVA FLORESTA;5;2;2;2;6;1;6;3;-;2;-;29
251020 NOVA OLINDA;36;-;1;-;-;-;-;-;-;-;1;38
251030 NOVA PALMEIRA;46;1;-;-;1;-;-;1;2;2;4;57
251040 OLHO D'AGUA;36;-;-;-;-;-;-;-;-;-;7;43
251050 OLIVEDOS;29;-;2;1;4;1;-;3;1;2;2;45
251060 OURO VELHO;3;-;-;-;-;-;-;-;-;-;-;3
251065 PARARI;12;-;2;-;3;1;3;4;-;-;3;28
251070 PASSAGEM;16;-;-;-;-;-;-;-;-;-;8;24
251080 PATOS;231;1;23;6;17;9;16;23;6;18;129;479
251090 PAULISTA;77;-;-;-;-;-;-;-;-;-;5;82
251100 PEDRA BRANCA;39;-;-;-;-;-;-;-;-;1;4;44
251110 PEDRA LAVRADA;-;2;7;5;12;3;13;25;3;2;1;73
251120 PEDRAS DE FOGO;4;-;-;1;-;1;-;-;1;-;2;9
251130 PIANCO;115;2;5;2;5;2;5;9;-;-;51;196
251140 PICUI;54;2;7;2;10;6;6;15;3;5;18;128
251150 PILAR;3;-;-;-;2;-;1;-;-;-;3;9
251160 PILOES;4;-;-;-;-;-;-;-;-;-;-;4
251170 PILOEZINHOS;40;-;2;-;-;1;-;1;-;-;11;55
251190 PITIMBU;-;-;3;-;1;-;-;-;-;-;-;4
251200 POCINHOS;17;-;-;-;-;-;-;-;-;1;1;19
251203 POCO DANTAS;3;1;1;-;-;-;-;1;-;-;-;6
251207 POCO DE JOSE DE MOURA;4;-;1;-;-;-;-;-;-;1;-;6
251210 POMBAL;763;4;-;2;-;179;2;1;-;5;81;1037
251220 PRATA;2;-;-;-;1;-;-;-;-;2;-;5
251230 PRINCESA ISABEL;31;1;1;1;13;2;13;68;1;4;7;142
251240 PUXINANA;72;-;-;-;-;-;-;-;-;-;11;83
251250 QUEIMADAS;117;1;9;9;18;10;9;12;6;7;16;214
251260 QUIXABA;54;5;8;1;18;4;11;22;1;1;15;140
251270 REMIGIO;30;-;1;-;2;-;1;-;-;1;7;42
251272 PEDRO REGIS;13;-;2;-;1;-;-;2;-;-;-;18
251274 RIACHAO;-;-;3;-;3;-;2;3;-;-;3;14
251275 RIACHAO DO BACAMARTE;4;-;9;-;1;1;4;2;-;1;2;24
251276 RIACHAO DO POCO;1;-;-;-;1;-;-;-;-;-;-;2
251278 RIACHO DE SANTO ANTONIO;7;-;9;2;9;4;3;7;1;-;8;50
251280 RIACHO DOS CAVALOS;19;1;1;-;1;-;-;1;-;-;5;28
251290 RIO TINTO;-;1;-;-;1;-;1;-;1;-;-;4
251300 SALGADINHO;17;-;1;-;-;1;1;6;1;-;7;34
251310 SALGADO DE SAO FELIX;13;-;1;-;1;-;2;3;-;-;6;26
251315 SANTA CECILIA;3;-;3;-;-;-;-;2;-;1;-;9
251320 SANTA CRUZ;18;2;4;-;3;2;-;3;-;-;1;33
251330 SANTA HELENA;7;-;-;-;-;-;-;-;-;-;-;7
251340 SANTA LUZIA;816;-;4;3;1;6;7;23;1;7;86;954
251350 SANTANA DE MANGUEIRA;1;-;-;-;-;-;-;-;-;-;-;1
251360 SANTANA DOS GARROTES;-;-;-;-;2;-;1;3;-;-;-;6
251365 JOCA CLAUDINO;1;-;1;1;-;-;-;-;-;-;-;3
251370 SANTA RITA;518;-;1;2;1;1;1;5;-;1;9;539
251380 SANTA TERESINHA;14;-;-;-;-;-;-;-;-;-;2;16
251385 SANTO ANDRE;88;-;-;1;2;-;-;11;1;-;14;117
251390 SAO BENTO;346;2;78;73;71;54;58;69;1;3;33;788
251392 SAO BENTINHO;11;-;2;-;1;-;1;1;1;1;2;20
251394 SAO DOMINGOS DO CARIRI;4;-;-;-;-;-;-;-;-;1;-;5
251396 SAO DOMINGOS;1;-;-;-;-;-;1;-;-;-;-;2
251398 SAO FRANCISCO;110;-;2;-;-;1;3;3;1;-;6;126
251400 SAO JOAO DO CARIRI;107;-;-;-;-;-;-;-;-;-;14;121
251410 SAO JOAO DO TIGRE;1;-;1;-;3;-;-;-;-;-;3;8
251420 SAO JOSE DA LAGOA TAPADA;1;-;-;-;-;-;-;-;-;-;-;1
251430 SAO JOSE DE CAIANA;2;-;-;-;-;-;1;2;-;-;2;7
251440 SAO JOSE DE ESPINHARAS;89;-;-;-;-;-;-;-;-;-;12;101
251445 SAO JOSE DOS RAMOS;37;-;-;-;1;1;1;2;-;-;3;45
251450 SAO JOSE DE PIRANHAS;1;2;4;2;2;6;2;9;-;6;1;35
251455 SAO JOSE DE PRINCESA;-;-;-;-;-;-;1;1;-;-;-;2
251460 SAO JOSE DO BONFIM;-;-;3;-;-;-;-;1;-;-;4;8
251465 SAO JOSE DO BREJO DO CRUZ;13;1;4;3;6;33;32;72;1;4;11;180
251470 SAO JOSE DO SABUGI;35;-;-;-;-;-;-;-;-;-;4;39
251480 SAO JOSE DOS CORDEIROS;2;-;-;-;-;-;-;1;-;-;-;3
251490 SAO MAMEDE;14;-;1;1;1;-;-;2;-;1;2;22
251500 SAO MIGUEL DE TAIPU;-;-;-;-;9;1;1;-;-;-;-;11
251510 SAO SEBASTIAO DE LAGOA DE ROCA;-;3;11;1;6;2;4;16;-;3;2;48
251520 SAO SEBASTIAO DO UMBUZEIRO;-;-;-;-;1;-;1;2;-;-;-;4
251530 SAPE;99;-;-;-;-;-;-;-;-;-;15;114
251540 SAO VICENTE DO SERIDO;79;2;11;12;11;18;29;34;3;9;21;229
251550 SERRA BRANCA;7;-;6;10;17;6;3;25;5;1;15;95
251560 SERRA DA RAIZ;132;3;2;-;1;-;1;-;-;1;11;151
251570 SERRA GRANDE;2;-;-;2;2;-;-;5;-;1;2;14
251580 SERRA REDONDA;12;-;1;-;3;1;1;4;-;2;4;28
251590 SERRARIA;57;-;1;-;-;-;-;3;-;-;6;67
251593 SERTAOZINHO;17;-;7;1;-;-;6;7;-;1;15;54
251600 SOLANEA;93;1;1;4;6;4;3;9;1;2;20;144
251610 SOLEDADE;62;-;-;4;6;6;1;5;2;8;7;101
251615 SOSSEGO;4;-;-;-;1;-;2;1;1;-;-;9
251620 SOUSA;254;-;-;-;2;1;3;3;-;-;54;317
251630 SUME;3;-;5;2;4;4;1;6;4;5;3;37
251640 TACIMA;37;4;7;1;5;2;4;25;-;-;18;103
251650 TAPEROA;23;1;2;2;7;2;3;7;-;1;5;53
251660 TAVARES;67;-;-;-;-;1;2;6;-;3;1;80
251670 TEIXEIRA;118;-;1;1;4;2;1;3;-;5;16;151
251675 TENORIO;128;-;-;-;-;-;-;-;-;1;5;134
251680 TRIUNFO;9;-;-;-;-;-;-;-;-;-;2;11
251690 UIRAUNA;5;-;-;1;3;-;1;3;-;-;3;16
251700 UMBUZEIRO;-;-;6;1;6;1;3;9;1;1;5;33
251710 VARZEA;28;-;1;2;-;-;2;6;1;7;-;47
251740 ZABELE;3;-;-;-;-;-;-;-;-;-;-;3
260010 AFOGADOS DA INGAZEIRA;63;-;6;1;2;1;7;3;-;2;20;105
260020 AFRANIO;219;-;5;-;3;2;1;10;1;2;18;261
260030 AGRESTINA;8;-;-;1;-;-;-;3;-;-;2;14
260040 AGUA PRETA;-;-;-;-;4;-;3;-;-;1;1;9
260050 AGUAS BELAS;-;-;-;-;-;-;-;2;-;1;9;12
260060 ALAGOINHA;4;-;-;-;1;-;1;1;-;-;1;8
260070 ALIANCA;52;-;4;1;5;1;6;2;-;2;14;87
260080 ALTINHO;99;-;-;-;1;-;-;1;-;-;16;117
260090 AMARAJI;66;1;-;-;-;1;-;-;-;-;14;82
260100 ANGELIM;-;-;-;-;5;2;4;2;-;-;4;17
260105 ARACOIABA;208;-;1;-;3;-;2;64;1;1;34;314
260110 ARARIPINA;3;-;-;1;-;-;3;4;1;5;-;17
260120 ARCOVERDE;74;1;1;-;2;1;1;2;-;-;13;95
260130 BARRA DE GUABIRABA;30;1;12;2;5;4;17;27;3;5;9;115
260140 BARREIROS;23;-;6;1;5;-;7;30;-;6;3;81
260150 BELEM DE MARIA;-;-;-;-;-;-;-;1;-;1;-;2
260160 BELEM DE SAO FRANCISCO;6;-;1;-;-;-;-;8;-;2;1;18
260170 BELO JARDIM;-;-;-;4;2;2;1;-;-;-;1;10
260180 BETANIA;-;-;1;-;2;2;4;3;-;1;1;14
260190 BEZERROS;4;-;1;-;-;-;-;-;-;-;-;5
260200 BODOCO;-;-;1;-;1;-;-;1;-;-;-;3
260210 BOM CONSELHO;-;-;-;-;2;1;1;2;-;-;1;7
260220 BOM JARDIM;52;-;1;1;-;2;2;2;-;2;13;75
260230 BONITO;-;-;4;-;5;-;-;9;-;5;-;23
260240 BREJAO;34;1;8;4;8;19;14;18;-;11;10;127
260250 BREJINHO;11;-;-;2;2;-;-;1;2;2;3;23
260260 BREJO DA MADRE DE DEUS;120;-;-;-;2;-;1;4;-;-;28;155
260270 BUENOS AIRES;1;-;-;-;1;-;-;1;-;1;-;4
260280 BUIQUE;426;-;4;-;1;5;1;6;1;1;63;508
260290 CABO DE SANTO AGOSTINHO;56;-;-;1;-;-;1;6;-;-;17;81
260300 CABROBO;23;2;13;3;10;26;19;58;2;21;6;183
260310 CACHOEIRINHA;4;-;1;-;-;-;-;-;-;-;-;5
260330 CALCADO;1;-;1;-;-;1;-;-;-;2;-;5
260340 CALUMBI;1;-;2;1;1;-;-;2;1;-;3;11
260345 CAMARAGIBE;4;-;-;-;-;-;-;1;-;-;4;9
260350 CAMOCIM DE SAO FELIX;4;-;2;-;1;-;1;2;1;1;3;15
260360 CAMUTANGA;5;-;1;-;1;2;-;1;-;1;5;16
260370 CANHOTINHO;15;-;-;1;-;1;2;5;-;4;2;30
260380 CAPOEIRAS;-;-;-;1;1;-;1;1;-;-;-;4
260390 CARNAIBA;90;-;-;2;7;-;-;-;-;1;17;117
260392 CARNAUBEIRA DA PENHA;20;5;15;3;3;2;10;9;1;2;8;78
260400 CARPINA;14;-;7;1;6;4;1;12;1;2;5;53
260410 CARUARU;245;6;10;3;6;1;5;11;1;3;116;407
260430 CEDRO;4;1;6;-;4;2;3;5;-;-;1;26
260440 CHA DE ALEGRIA;-;-;-;-;-;-;-;-;1;-;-;1
260450 CHA GRANDE;26;-;1;2;-;-;-;-;-;-;3;32
260460 CONDADO;2;-;-;-;-;-;-;-;-;-;3;5
260470 CORRENTES;71;-;-;2;1;-;-;3;1;3;2;83
260480 CORTES;7;1;-;-;1;-;-;2;-;-;1;12
260490 CUMARU;1;-;3;-;1;-;-;9;-;1;11;26
260500 CUPIRA;67;1;4;-;8;1;3;3;-;8;39;134
260510 CUSTODIA;11;-;-;1;3;1;1;3;-;2;5;27
260515 DORMENTES;11;-;9;-;4;1;1;6;1;2;7;42
260520 ESCADA;3;-;-;1;3;1;3;8;2;2;1;24
260530 EXU;4;-;3;-;1;1;-;-;-;1;2;12
260540 FEIRA NOVA;8;-;-;-;-;1;-;-;-;-;3;12
260545 FERNANDO DE NORONHA;79;-;-;-;-;-;-;-;-;-;2;81
260550 FERREIROS;2;-;4;4;7;1;-;3;-;3;13;37
260560 FLORES;-;-;-;-;-;-;-;-;-;-;1;1
260570 FLORESTA;27;-;4;3;6;2;10;14;2;7;8;83
260580 FREI MIGUELINHO;17;-;-;1;1;-;-;-;-;-;2;21
260590 GAMELEIRA;47;-;-;-;1;-;-;2;-;-;5;55
260600 GARANHUNS;307;-;3;-;2;-;-;2;-;8;39;361
260610 GLORIA DO GOITA;1;-;-;-;-;-;-;-;-;-;-;1
260620 GOIANA;158;-;2;1;2;2;3;1;1;1;71;242
260630 GRANITO;26;7;11;1;15;4;9;20;4;6;11;114
260640 GRAVATA;94;-;-;-;-;-;-;1;-;-;13;108
260660 IBIMIRIM;1;1;-;-;2;-;-;5;-;-;3;12
260670 IBIRAJUBA;4;-;-;-;1;-;-;6;-;-;4;15
260680 IGARASSU;299;1;4;-;5;3;1;21;2;6;35;377
260690 IGUARACY;4;-;3;2;2;-;1;4;-;2;3;21
260700 INAJA;3;-;-;-;1;-;1;2;-;1;-;8
260710 INGAZEIRA;13;-;-;-;1;-;-;-;-;-;1;15
260720 IPOJUCA;21;-;-;-;-;-;-;-;-;-;1;22
260730 IPUBI;6;3;1;3;3;3;6;4;1;-;4;34
260740 ITACURUBA;16;-;-;-;1;1;2;11;1;3;1;36
260750 ITAIBA;5;-;-;1;2;-;-;3;-;-;2;13
260760 ILHA DE ITAMARACA;3;-;-;-;-;-;-;1;-;-;-;4
260765 ITAMBE;8;-;-;-;-;-;-;-;-;-;1;9
260770 ITAPETIM;2;-;-;-;1;-;-;2;-;-;2;7
260780 ITAQUITINGA;-;-;-;-;-;1;-;1;-;-;1;3
260790 JABOATAO DOS GUARARAPES;1776;-;-;1;-;-;4;1;-;1;354;2137
260795 JAQUEIRA;5;-;3;1;1;1;-;3;-;1;-;15
260800 JATAUBA;34;-;8;3;5;6;20;9;-;-;13;98
260805 JATOBA;5;-;-;-;-;2;3;4;3;4;4;25
260810 JOAO ALFREDO;11;-;-;1;1;-;-;-;-;1;1;15
260825 JUCATI;2;-;-;-;1;-;-;1;-;-;-;4
260830 JUPI;-;-;-;-;-;-;-;1;-;-;-;1
260840 JUREMA;26;-;1;3;12;7;4;9;-;3;3;68
260845 LAGOA DO CARRO;15;-;1;1;3;-;-;1;-;2;7;30
260850 LAGOA DE ITAENGA;1;-;-;-;-;-;-;-;-;-;-;1
260860 LAGOA DO OURO;13;4;25;14;13;13;18;32;2;5;9;148
260870 LAGOA DOS GATOS;28;1;10;2;8;2;11;13;2;6;12;95
260875 LAGOA GRANDE;3;1;-;1;4;3;3;18;1;-;-;34
260880 LAJEDO;47;-;-;-;-;-;-;-;-;-;19;66
260890 LIMOEIRO;55;2;-;1;2;1;-;3;1;-;30;95
260900 MACAPARANA;12;-;5;1;5;4;1;1;-;3;9;41
260910 MACHADOS;411;2;3;3;5;2;3;4;1;3;65;502
260915 MANARI;-;-;-;-;-;-;1;-;-;1;-;2
260930 MIRANDIBA;20;-;-;-;2;2;-;8;-;2;4;38
260940 MORENO;2;-;1;1;-;-;1;3;2;1;1;12
260950 NAZARE DA MATA;265;1;2;3;18;6;5;10;1;4;63;378
260960 OLINDA;123;-;-;-;-;1;-;7;-;1;13;145
260970 OROBO;107;-;10;2;12;9;13;17;-;5;25;200
260980 OROCO;19;2;5;4;6;3;2;14;2;11;5;73
260990 OURICURI;9;1;3;2;2;5;4;6;2;2;6;42
261000 PALMARES;32;1;25;8;17;10;13;25;2;5;50;188
261010 PALMEIRINA;2;-;-;-;-;-;-;1;-;-;1;4
261020 PANELAS;1;-;-;-;-;-;-;1;-;1;1;4
261030 PARANATAMA;-;-;-;-;1;-;-;-;-;-;1;2
261040 PARNAMIRIM;113;1;1;1;1;1;-;5;-;2;8;133
261050 PASSIRA;2;-;1;-;-;-;-;-;-;-;2;5
261060 PAUDALHO;287;-;1;-;2;3;-;3;2;3;5;306
261070 PAULISTA;807;1;2;2;-;-;6;3;-;2;65;888
261080 PEDRA;1;-;2;2;3;2;1;2;-;-;4;17
261090 PESQUEIRA;27;-;-;-;-;1;-;3;-;2;5;38
261100 PETROLANDIA;-;-;1;1;-;6;1;4;1;-;5;19
261110 PETROLINA;281;2;13;13;28;13;25;61;4;10;56;506
261120 POCAO;-;-;-;-;-;-;-;-;-;-;1;1
261130 POMBOS;6;1;1;1;2;-;2;3;-;6;3;25
261140 PRIMAVERA;2;-;-;-;-;-;-;-;-;-;-;2
261150 QUIPAPA;9;2;117;262;11;4;13;9;2;9;44;482
261153 QUIXABA;23;5;3;3;4;5;5;12;1;1;5;67
261160 RECIFE;1802;5;14;8;30;23;14;86;13;27;328;2350
261170 RIACHO DAS ALMAS;26;-;1;-;3;2;-;2;-;-;4;38
261180 RIBEIRAO;-;-;1;-;-;-;-;-;-;-;-;1
261190 RIO FORMOSO;4;-;-;-;-;-;-;-;-;-;-;4
261200 SAIRE;20;-;-;-;-;-;-;-;-;1;3;24
261220 SALGUEIRO;138;1;23;5;14;1;10;67;-;10;49;318
261230 SALOA;-;-;-;-;-;-;-;1;-;-;-;1
261240 SANHARO;19;-;-;-;-;-;-;2;-;1;4;26
261245 SANTA CRUZ;12;-;1;1;1;1;2;1;-;-;2;21
261247 SANTA CRUZ DA BAIXA VERDE;19;-;7;7;4;8;9;19;1;4;13;91
261250 SANTA CRUZ DO CAPIBARIBE;6;-;6;14;13;18;82;8;-;-;88;235
261255 SANTA FILOMENA;35;10;16;-;22;5;15;45;-;5;5;158
261260 SANTA MARIA DA BOA VISTA;9;-;1;2;2;2;6;6;2;3;3;36
261280 SANTA TEREZINHA;24;1;4;2;3;-;5;8;2;1;16;66
261290 SAO BENEDITO DO SUL;-;1;12;4;5;3;6;16;2;3;3;55
261300 SAO BENTO DO UNA;20;-;1;-;1;-;-;-;-;-;1;23
261310 SAO CAITANO;-;-;3;1;2;-;1;5;1;1;1;15
261320 SAO JOAO;4;-;1;1;2;2;2;2;4;2;1;21
261340 SAO JOSE DA COROA GRANDE;6;1;-;-;2;1;-;-;1;1;1;13
261350 SAO JOSE DO BELMONTE;18;2;3;-;4;2;3;6;-;2;2;42
261360 SAO JOSE DO EGITO;9;2;5;3;9;7;10;14;1;3;7;70
261370 SAO LOURENCO DA MATA;27;-;-;-;-;-;-;-;-;-;3;30
261380 SAO VICENTE FERRER;12;-;-;-;-;-;-;-;-;-;2;14
261390 SERRA TALHADA;26;3;33;21;33;29;25;83;12;20;69;354
261400 SERRITA;20;-;-;1;1;-;-;-;-;-;1;23
261410 SERTANIA;-;-;1;-;-;1;-;-;-;-;3;5
261420 SIRINHAEM;2;-;-;-;-;-;-;1;-;-;-;3
261430 MOREILANDIA;2;-;-;-;-;-;-;3;1;-;2;8
261440 SOLIDAO;-;-;-;-;1;-;-;-;-;1;-;2
261450 SURUBIM;81;-;-;-;-;-;1;2;-;1;19;104
261460 TABIRA;3;-;-;-;3;-;1;3;-;-;6;16
261470 TACAIMBO;-;-;-;-;-;1;-;-;-;-;-;1
261480 TACARATU;7;-;-;-;-;-;-;2;-;-;-;9
261485 TAMANDARE;25;-;2;1;3;3;3;9;-;3;-;49
261500 TAQUARITINGA DO NORTE;-;-;-;-;-;-;-;-;-;-;1;1
261510 TEREZINHA;-;-;1;-;3;-;-;3;-;2;-;9
261520 TERRA NOVA;38;-;-;-;-;-;-;-;-;-;7;45
261530 TIMBAUBA;36;-;1;-;3;1;3;6;1;-;19;70
261540 TORITAMA;7;-;-;1;1;2;-;3;-;-;1;15
261550 TRACUNHAEM;276;-;1;1;-;-;1;1;-;2;35;317
261560 TRINDADE;22;-;-;-;3;2;2;3;-;2;4;38
261570 TRIUNFO;1;-;-;-;1;-;1;1;-;2;1;7
261580 TUPANATINGA;4;-;-;-;-;-;-;-;-;-;1;5
261590 TUPARETAMA;1;-;-;-;2;1;1;2;1;-;-;8
261600 VENTUROSA;2;-;-;-;-;1;1;2;1;1;-;8
261610 VERDEJANTE;1;1;6;3;2;1;5;10;1;3;3;36
261618 VERTENTE DO LERIO;1;-;-;-;-;-;-;-;-;-;1;2
261620 VERTENTES;3;-;-;-;1;-;-;3;-;-;1;8
261630 VICENCIA;15;-;2;-;1;-;-;5;2;1;4;30
261640 VITORIA DE SANTO ANTAO;153;1;3;-;1;-;2;6;-;1;30;197
261650 XEXEU;-;-;2;2;3;1;5;2;1;-;2;18
270010 AGUA BRANCA;2;-;-;-;1;1;2;-;-;3;1;10
270020 ANADIA;5;1;2;1;5;2;4;6;-;-;5;31
270030 ARAPIRACA;1055;11;12;12;46;106;33;246;14;108;167;1810
270040 ATALAIA;35;1;1;-;1;2;1;2;1;-;2;46
270050 BARRA DE SANTO ANTONIO;12;-;-;-;-;-;-;-;-;-;2;14
270060 BARRA DE SAO MIGUEL;95;2;2;-;5;4;9;13;1;2;6;139
270070 BATALHA;1;-;2;-;5;6;3;3;-;-;1;21
270090 BELO MONTE;1;-;-;-;-;-;-;-;-;-;-;1
270100 BOCA DA MATA;2;1;3;1;1;4;1;11;-;3;-;27
270110 BRANQUINHA;129;1;1;2;2;4;3;4;-;5;13;164
270120 CACIMBINHAS;5;2;2;1;1;1;1;2;1;2;1;19
270130 CAJUEIRO;20;-;-;1;4;2;5;4;1;3;2;42
270135 CAMPESTRE;-;-;-;-;-;-;-;1;-;-;-;1
270140 CAMPO ALEGRE;140;5;21;5;28;17;29;44;8;7;24;328
270170 CAPELA;58;3;3;2;4;1;14;12;-;1;12;110
270180 CARNEIROS;1;1;1;-;-;2;1;-;1;1;1;9
270200 COITE DO NOIA;-;-;1;1;2;1;-;3;-;-;-;8
270210 COLONIA LEOPOLDINA;323;-;1;1;-;-;-;1;-;3;45;374
270220 COQUEIRO SECO;15;-;-;-;2;1;1;2;-;-;5;26
270230 CORURIPE;301;-;3;-;6;2;5;2;1;11;35;366
270235 CRAIBAS;4;-;15;3;4;2;2;6;-;-;4;40
270240 DELMIRO GOUVEIA;1;14;13;12;22;31;14;78;3;4;27;219
270250 DOIS RIACHOS;1;-;1;-;-;-;1;-;-;-;2;5
270260 FEIRA GRANDE;36;-;-;-;-;-;-;-;-;1;4;41
270270 FELIZ DESERTO;2;-;-;-;-;-;-;-;-;-;-;2
270280 FLEXEIRAS;37;2;3;-;5;1;3;6;1;2;9;69
270290 GIRAU DO PONCIANO;-;-;-;1;-;-;1;-;-;-;-;2
270300 IBATEGUARA;1;1;2;-;3;1;2;22;2;2;2;38
270310 IGACI;50;2;6;4;13;2;9;14;-;5;12;117
270320 IGREJA NOVA;-;-;2;2;2;3;1;2;-;-;1;13
270330 INHAPI;29;4;13;-;14;5;6;15;4;2;9;101
270340 JACARE DOS HOMENS;5;2;1;2;1;2;4;4;-;3;2;26
270350 JACUIPE;1;-;-;-;-;-;-;2;-;-;-;3
270360 JAPARATINGA;6;-;1;-;1;2;2;2;1;2;2;19
270370 JARAMATAIA;2;1;4;1;1;3;3;4;-;-;12;31
270375 JEQUIA DA PRAIA;-;-;-;-;-;1;-;1;1;-;-;3
270380 JOAQUIM GOMES;91;1;-;-;1;-;-;-;-;1;7;101
270390 JUNDIA;1;-;2;-;-;-;-;4;1;3;3;14
270400 JUNQUEIRO;2;3;6;3;11;12;22;26;-;-;13;98
270410 LAGOA DA CANOA;33;-;-;-;-;-;-;1;-;2;4;40
270420 LIMOEIRO DE ANADIA;123;-;-;-;-;1;1;1;-;-;9;135
270430 MACEIO;10003;26;174;140;510;215;481;1938;114;160;1494;15255
270440 MAJOR ISIDORO;4;1;-;-;-;-;-;-;-;-;-;5
270450 MARAGOGI;25;-;2;9;6;639;17;10;1;1;60;770
270460 MARAVILHA;1;-;-;-;-;-;-;-;-;-;-;1
270470 MARECHAL DEODORO;1240;9;66;44;162;82;182;381;46;77;111;2400
270480 MARIBONDO;105;-;5;2;8;1;6;2;-;1;18;148
270500 MATA GRANDE;-;1;5;-;4;-;4;6;1;-;7;28
270510 MATRIZ DE CAMARAGIBE;718;15;17;12;55;41;64;101;12;14;80;1129
270520 MESSIAS;401;2;14;9;6;5;24;20;1;5;53;540
270550 MURICI;308;2;6;8;6;6;8;9;2;3;44;402
270570 OLHO D'AGUA DAS FLORES;40;-;5;1;4;2;3;5;1;2;10;73
270580 OLHO D'AGUA DO CASADO;-;-;-;-;-;-;-;1;-;-;-;1
270600 OLIVENCA;24;-;3;1;2;2;5;10;-;9;1;57
270610 OURO BRANCO;1;-;-;-;-;-;-;-;-;-;-;1
270620 PALESTINA;-;-;-;-;-;-;1;1;-;-;-;2
270630 PALMEIRA DOS INDIOS;898;5;18;31;17;28;8;59;1;36;122;1223
270640 PAO DE ACUCAR;2;-;-;-;1;-;-;-;1;-;-;4
270642 PARICONHA;1;-;-;1;-;-;-;-;-;-;-;2
270644 PARIPUEIRA;8;-;-;-;-;-;3;2;-;-;-;13
270650 PASSO DE CAMARAGIBE;4;-;-;2;-;-;-;-;-;-;2;8
270660 PAULO JACINTO;-;9;2;3;6;4;7;5;2;2;3;43
270670 PENEDO;34;1;1;3;9;4;3;21;8;14;5;103
270680 PIACABUCU;-;-;6;4;5;9;7;12;1;4;6;54
270690 PILAR;101;7;5;5;22;4;24;44;5;5;15;237
270710 PIRANHAS;5;-;4;2;7;6;2;1;-;-;5;32
270730 PORTO CALVO;121;-;1;1;1;-;-;2;-;1;8;135
270740 PORTO DE PEDRAS;16;-;-;-;-;-;-;-;-;-;1;17
270750 PORTO REAL DO COLEGIO;4;1;-;-;-;-;3;2;-;1;-;11
270760 QUEBRANGULO;116;2;2;-;5;-;2;6;-;1;4;138
270770 RIO LARGO;169;-;3;1;6;1;8;6;-;5;13;212
270780 ROTEIRO;11;-;-;-;-;-;1;1;-;-;2;15
270790 SANTA LUZIA DO NORTE;49;1;12;3;20;5;22;39;4;11;17;183
270800 SANTANA DO IPANEMA;99;-;-;1;4;3;5;8;1;3;28;152
270810 SANTANA DO MUNDAU;9;-;-;-;-;-;-;1;-;-;-;10
270830 SAO JOSE DA LAJE;117;2;1;6;6;6;8;6;-;4;17;173
270840 SAO JOSE DA TAPERA;-;-;-;-;1;-;-;-;-;-;-;1
270850 SAO LUIS DO QUITUNDE;249;1;-;-;1;-;-;2;-;1;25;279
270860 SAO MIGUEL DOS CAMPOS;37;15;75;166;144;40;34;834;2;8;39;1394
270870 SAO MIGUEL DOS MILAGRES;1;-;-;-;-;-;1;-;-;-;-;2
270880 SAO SEBASTIAO;1;-;1;-;-;1;-;3;-;2;1;9
270890 SATUBA;159;2;2;3;3;2;1;6;-;-;21;199
270895 SENADOR RUI PALMEIRA;4;-;2;1;2;3;-;4;-;-;-;16
270910 TAQUARANA;138;21;3;1;13;8;14;22;2;4;13;239
270915 TEOTONIO VILELA;40;3;9;3;17;7;12;24;-;1;31;147
270920 TRAIPU;-;-;-;1;1;-;1;1;1;1;-;6
270930 UNIAO DOS PALMARES;1283;68;108;27;107;229;199;217;15;25;262;2540
270940 VICOSA;232;2;2;1;5;10;13;23;2;12;22;324
280030 ARACAJU;2202;4;102;100;360;42;90;164;27;72;612;3775
280040 ARAUA;3;-;2;1;5;-;3;4;-;2;2;22
280050 AREIA BRANCA;36;-;1;1;4;1;2;2;-;-;6;53
280060 BARRA DOS COQUEIROS;48;-;-;-;-;-;-;3;-;-;6;57
280067 BOQUIM;-;1;-;1;2;-;1;2;-;-;-;7
280070 BREJO GRANDE;-;-;-;1;-;-;-;1;-;-;-;2
280100 CAMPO DO BRITO;22;-;3;-;4;-;3;5;-;1;3;41
280120 CANINDE DE SAO FRANCISCO;6;1;2;-;2;2;2;1;-;-;1;17
280130 CAPELA;3;-;1;-;3;1;1;6;-;-;2;17
280140 CARIRA;22;-;-;-;-;-;1;-;-;-;5;28
280150 CARMOPOLIS;2;-;-;-;1;-;1;1;-;-;-;5
280170 CRISTINAPOLIS;-;-;-;-;-;-;-;1;-;-;-;1
280190 CUMBE;4;-;-;-;-;-;-;1;-;-;-;5
280200 DIVINA PASTORA;11;-;1;-;2;-;1;-;-;-;3;18
280210 ESTANCIA;96;-;6;1;2;1;1;5;-;-;31;143
280240 GARARU;-;-;-;1;-;1;-;-;-;1;-;3
280250 GENERAL MAYNARD;2;-;-;-;1;-;-;1;-;-;-;4
