Município;Médico Anestesiologista;Médico Cirurgião Geral;Médico Clínico;Médico Generalista Alopata;Médico Ginecologista Obstetra;Médico da estratégia de Saúde da Família;Médico de família e comunidade;Médico Pediatra;Médico psiquiatra;Médico em radiologia e diagnóstico por imagem;Médico sanitarista;Médico acupunturista;Médico alergista e imunologista;Médico anatomopatologista;Médico angiologista;Médico Cardiologista Intervencionista;Médico cancerologista cirúrgico;Médico cancerologista pediátrico;Médico cardiologista;Médico cirurgião cardiovascular;Médico cirurgião de cabeça e pescoço;Médico cirurgião do aparelho digestivo;Médico cirurgião pediátrico;Médico cirurgião plástico;Médico cirurgião torácico;Médico citopatologista;Médico coloproctologista;Médico dermatologista;Médico do trabalho;Médico em cirurgia vascular;Médico em endoscopia;Médico em medicina de tráfego;Médico em medicina intensiva;Médico em medicina nuclear;Médico em medicina preventiva e social;Médico endocrinologista e metabologista;Médico fisiatra;Médico gastroenterologista;Médico geneticista;Médico geriatra;Médico hematologista;Médico hiperbarista;Médico homeopata;Médico infectologista;Médico legista;Médico mastologista;Médico nefrologista;Médico neurocirurgião;Médico neurofisiologista clínico;Médico neurologista;Médico nutrologista;Médico oftalmologista;Médico oncologista clínico;Médico ortopedista e traumatologista;Médico otorrinolaringologista;Médico patologista;Médico patologista clínico / medicina laboratorial;Médico pneumologista;Médico radioterapeuta;Médico residente;Médico reumatologista;Médico urologista;Total
350810 BURITAMA;-;-;35;-;2;2;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;44
350820 BURITIZAL;-;-;6;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;15
350830 CABRALIA PAULISTA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
350840 CABREUVA;1;-;51;-;4;2;-;27;2;5;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;2;-;1;-;4;3;-;-;-;-;-;1;-;110
350850 CACAPAVA;12;4;204;-;36;7;-;77;5;10;-;-;2;-;3;-;-;-;10;-;-;-;-;2;-;-;-;5;2;-;-;-;3;-;-;3;-;3;-;-;1;-;-;3;-;-;3;-;-;6;-;9;1;17;2;-;-;1;-;-;1;1;433
350860 CACHOEIRA PAULISTA;-;1;27;-;3;1;-;4;-;2;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;53
350870 CACONDE;1;-;11;1;2;2;-;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;22
350880 CAFELANDIA;1;-;11;-;2;2;-;4;-;1;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;28
350890 CAIABU;-;-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
350900 CAIEIRAS;26;5;176;5;51;6;-;94;3;13;-;1;-;-;1;-;-;-;8;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;-;2;-;2;-;-;-;-;-;2;-;-;4;1;-;5;-;10;1;36;7;-;-;1;-;-;-;5;470
350910 CAIUA;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
350920 CAJAMAR;4;3;87;-;18;4;1;27;5;6;-;-;-;-;1;-;-;-;12;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;1;-;4;-;-;-;-;-;2;-;-;-;-;-;4;-;10;-;8;3;-;-;1;-;-;1;4;212
350925 CAJATI;-;-;26;1;2;4;-;2;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;43
350930 CAJOBI;-;-;3;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
350940 CAJURU;2;2;20;-;-;5;-;5;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;42
350945 CAMPINA DO MONTE ALEGRE;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
350950 CAMPINAS;272;123;1357;22;480;89;17;782;199;215;11;29;33;42;52;22;1;7;334;8;17;32;7;87;1;1;4;165;68;23;8;13;69;12;19;63;10;65;11;9;39;-;13;77;2;2;88;27;1;158;9;234;94;236;109;11;11;29;9;1361;30;55;7374
350960 CAMPO LIMPO PAULISTA;7;6;50;-;8;1;-;13;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;4;-;-;-;-;6;-;-;1;-;-;1;-;-;-;-;108
350970 CAMPOS DO JORDAO;3;1;39;-;13;8;-;20;1;9;-;-;-;-;-;-;-;-;7;-;-;-;-;1;-;-;-;3;2;-;-;-;-;-;-;2;1;1;-;-;-;-;-;1;-;-;2;2;-;1;-;4;-;6;1;-;-;1;-;-;-;-;129
350980 CAMPOS NOVOS PAULISTA;-;-;9;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
350990 CANANEIA;-;-;3;-;2;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
350995 CANAS;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
351000 CANDIDO MOTA;-;-;72;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;79
351010 CANDIDO RODRIGUES;-;-;3;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
351015 CANITAR;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
351020 CAPAO BONITO;-;-;40;-;4;10;-;6;1;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;68
351030 CAPELA DO ALTO;-;-;7;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14
351040 CAPIVARI;3;2;36;1;6;-;-;11;1;7;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;2;-;2;1;3;2;-;-;-;-;-;1;1;91
351050 CARAGUATATUBA;31;13;155;-;18;15;-;49;7;20;1;1;1;1;1;-;-;-;26;-;2;-;-;5;-;-;1;8;5;1;4;2;6;-;-;3;-;2;-;2;-;-;-;4;-;4;5;2;-;9;-;17;7;28;7;1;-;2;1;-;-;2;469
351060 CARAPICUIBA;22;11;129;15;56;10;-;94;16;11;-;-;2;1;2;-;-;-;17;-;-;-;1;-;-;-;-;5;-;6;6;-;5;-;-;5;-;4;-;-;-;-;-;5;-;-;9;1;-;3;-;11;-;34;5;-;-;-;-;65;1;6;558
351070 CARDOSO;-;-;4;-;1;5;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;23
351080 CASA BRANCA;2;-;41;-;2;4;-;3;4;2;-;2;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;2;1;-;-;2;-;4;-;3;1;-;-;-;-;-;1;-;86
351090 CASSIA DOS COQUEIROS;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
351100 CASTILHO;-;-;10;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
351110 CATANDUVA;18;17;159;-;24;20;-;51;8;22;-;2;3;8;6;3;-;-;29;-;-;1;1;5;-;-;-;23;2;1;-;-;-;3;-;9;-;7;-;-;2;-;1;5;-;-;6;1;-;15;1;15;11;21;12;-;-;4;3;161;2;2;684
351120 CATIGUA;-;-;11;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
351130 CEDRAL;-;-;22;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
351140 CERQUEIRA CESAR;-;-;10;-;-;2;-;1;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
351150 CERQUILHO;3;1;32;-;3;1;-;7;4;4;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;2;-;4;2;2;3;-;-;-;-;-;1;1;91
351160 CESARIO LANGE;1;4;11;-;-;2;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;25
351170 CHARQUEADA;-;-;8;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
351190 CLEMENTINA;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
351200 COLINA;-;-;18;1;1;1;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;29
351210 COLOMBIA;-;-;3;-;-;3;-;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
351220 CONCHAL;2;-;11;-;1;5;-;3;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;28
351230 CONCHAS;-;-;6;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;12
351240 CORDEIROPOLIS;-;-;11;-;3;3;-;10;1;-;-;-;-;-;2;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;1;3;-;3;1;-;-;-;-;-;-;-;46
351250 COROADOS;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
351260 CORONEL MACEDO;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
351270 CORUMBATAI;-;-;8;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
351280 COSMOPOLIS;2;1;34;-;6;3;-;12;1;1;-;-;-;-;1;-;-;-;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;2;-;4;-;7;-;-;1;-;-;-;-;-;83
351290 COSMORAMA;-;-;11;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
351300 COTIA;14;10;121;1;40;5;-;64;5;21;-;-;2;-;-;-;-;-;16;-;-;2;1;1;-;-;-;10;5;2;3;-;1;-;-;3;1;2;-;3;-;-;1;4;-;-;4;4;-;4;1;20;1;39;5;-;-;3;-;20;1;-;440
351310 CRAVINHOS;-;-;19;-;3;1;-;6;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;4;-;-;1;-;-;-;-;-;-;-;43
351320 CRISTAIS PAULISTA;-;-;9;-;4;1;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;19
351330 CRUZALIA;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
351340 CRUZEIRO;3;4;60;1;10;9;-;17;5;14;-;-;1;1;1;-;-;-;10;-;-;1;-;-;-;-;-;6;1;-;-;-;2;-;-;4;-;4;-;-;-;-;-;1;-;-;2;-;-;5;-;7;-;11;-;-;-;-;-;-;-;2;182
351350 CUBATAO;11;1;227;-;11;12;-;62;2;3;-;2;1;1;-;-;-;-;19;-;-;-;-;5;-;-;1;-;5;-;-;-;3;-;-;1;-;2;-;-;-;-;-;4;-;-;3;-;-;7;2;7;3;17;2;-;1;3;-;-;2;2;422
351360 CUNHA;-;-;11;-;2;2;-;4;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;24
351370 DESCALVADO;-;-;35;-;1;1;-;5;-;1;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;54
351380 DIADEMA;45;25;346;36;85;63;1;171;28;54;1;3;3;2;1;-;-;-;34;2;2;6;2;4;2;-;-;15;8;9;3;-;10;-;-;10;4;4;-;-;4;-;-;14;-;1;16;9;-;17;1;39;9;70;18;-;-;5;-;9;2;18;1211
351385 DIRCE REIS;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
351390 DIVINOLANDIA;6;-;8;-;1;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;22;-;2;1;-;-;-;-;85;-;-;134
351400 DOBRADA;-;-;1;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
351410 DOIS CORREGOS;-;-;29;-;-;1;-;3;1;1;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
351420 DOLCINOPOLIS;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
351430 DOURADO;1;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
351440 DRACENA;3;1;67;-;3;6;-;10;7;9;-;1;2;-;-;-;-;-;9;-;-;-;-;-;-;1;-;4;1;1;-;-;1;-;-;2;-;2;-;-;-;-;-;2;-;-;4;-;-;16;-;9;1;5;2;-;-;-;-;-;1;2;172
351450 DUARTINA;-;-;16;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
351460 DUMONT;-;-;39;-;4;-;-;4;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;53
351470 ECHAPORA;-;-;5;-;-;2;-;-;2;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;14
351480 ELDORADO;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
351490 ELIAS FAUSTO;-;1;26;-;-;4;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;39
351492 ELISIARIO;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
351495 EMBAUBA;-;-;17;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
351500 EMBU DAS ARTES;4;1;200;1;15;16;1;60;5;7;-;2;1;-;3;-;-;-;3;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;-;1;-;3;-;-;-;-;-;2;-;-;5;-;-;5;-;7;-;7;3;-;-;-;-;-;-;2;359
351510 EMBU-GUACU;-;1;19;-;1;5;-;2;1;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3;-;1;-;-;-;-;-;-;-;1;44
351515 ENGENHEIRO COELHO;-;-;20;-;1;1;-;3;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;35
351518 ESPIRITO SANTO DO PINHAL;1;-;47;-;7;6;-;7;3;2;-;-;-;-;-;-;-;-;6;-;-;1;-;2;-;-;-;3;-;-;-;-;2;-;-;1;-;5;-;-;-;-;-;1;-;-;-;2;-;1;-;4;-;2;3;-;-;1;-;-;1;1;109
351519 ESPIRITO SANTO DO TURVO;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
351520 ESTRELA D'OESTE;1;-;6;-;-;1;-;4;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
351530 ESTRELA DO NORTE;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
351535 EUCLIDES DA CUNHA PAULISTA;-;-;7;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
351540 FARTURA;-;1;15;1;1;2;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;27
351550 FERNANDOPOLIS;2;7;130;-;8;11;1;20;7;13;-;-;-;-;5;-;-;-;12;-;-;-;-;2;-;-;-;8;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;3;-;-;4;-;-;7;-;10;-;1;1;-;-;1;-;48;1;-;306
351560 FERNANDO PRESTES;-;-;14;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;17
351570 FERRAZ DE VASCONCELOS;29;8;116;9;26;10;-;69;8;10;-;1;-;-;-;-;-;-;7;1;-;-;2;1;-;-;-;1;1;4;1;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;6;-;32;4;-;-;1;-;-;1;5;359
351580 FLORA RICA;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
351590 FLOREAL;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
351600 FLORIDA PAULISTA;-;-;8;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
351610 FLORINIA;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
351620 FRANCA;20;29;338;4;59;8;-;92;20;13;-;-;-;1;8;-;-;2;36;1;3;1;3;7;-;-;-;9;4;5;-;-;1;1;-;4;-;13;-;2;1;-;-;8;1;-;6;-;-;17;3;40;13;17;8;-;-;3;1;130;4;8;944
351630 FRANCISCO MORATO;21;3;81;1;31;8;-;47;-;4;-;-;-;-;-;-;-;-;4;-;-;-;4;-;-;-;-;1;1;3;1;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;6;-;4;-;2;-;-;-;-;-;-;1;1;228
351640 FRANCO DA ROCHA;9;16;75;-;3;11;-;15;27;6;-;-;1;1;1;-;-;-;9;1;-;-;-;-;-;-;-;-;3;4;5;-;8;-;-;1;-;1;-;-;-;-;-;1;2;-;6;4;-;2;-;13;5;24;3;-;-;1;-;48;1;1;308
351650 GABRIEL MONTEIRO;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
